UniProt ID (2598),Description,Resistance mechanism
C5BDY7,Multidrug resistance protein MdtK,efflux pump
C5BHN3,Multidrug resistance protein MdtC,efflux pump
C5BHN6,Multidrug resistance protein MdtA,efflux pump
C5BRP6,Undecaprenyl-diphosphatase,target alteration
C5CBT8,Undecaprenyl-diphosphatase,target alteration
C5CGT6,Undecaprenyl-diphosphatase,target alteration
C5CTM8,Undecaprenyl-diphosphatase,target alteration
C5D3Y4,Undecaprenyl-diphosphatase,target alteration
C6BUE1,Undecaprenyl-diphosphatase,target alteration
C6CAI2,Multidrug resistance protein MdtB,efflux pump
C6DAW3,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
C6DAW5,Bifunctional polymyxin resistance protein ArnA,target alteration
C6DAW6,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
C6DBC6,Multidrug resistance protein MdtA,efflux pump
C6DBC8,Multidrug resistance protein MdtC,efflux pump
C6DBD0,Putative multidrug resistance protein MdtD,efflux pump
C6DDL8,Undecaprenyl-diphosphatase,target alteration
C6DFD4,Multidrug resistance protein MdtH,efflux pump
C7C422,Metallo-beta-lactamase type 2,product inactivation
C9XVZ5,Multidrug resistance protein MdtA,efflux pump
D0CCT2,Chloramphenicol resistance protein CraA,efflux pump
D0JKF6,Multidrug transporter MdfA,efflux pump
D0JNB0,Multidrug resistance protein MdtB,efflux pump
D0JUX5,Multidrug transporter MdfA,efflux pump
D0ZEW1,Multidrug resistance protein MdtB,efflux pump
D0ZHC6,Multidrug transporter MdfA,efflux pump
D0ZV89,Virulence sensor histidine kinase PhoQ,target alteration, efflux pump
D0ZV90,Virulence transcriptional regulatory protein PhoP,target alteration, efflux pump
D0ZXQ1,Outer membrane porin protein OmpD,efflux pump
D0ZXQ3,Methyl viologen resistance protein SmvA,efflux pump
D2BTK6,Multidrug resistance protein MdtA,efflux pump
D2BX50,Multidrug resistance protein MdtG,efflux pump
D3HKY4,Flavin-dependent monooxygenase,efflux pump
D3V7P2,Multidrug resistance protein MdtA,efflux pump
D3V7P3,Multidrug resistance protein MdtB,efflux pump
D3V7P4,Multidrug resistance protein MdtC,efflux pump
D4I6V2,Multidrug resistance protein MdtA,efflux pump
D4I6V4,Multidrug resistance protein MdtC,efflux pump
D5B5U5,Multidrug transporter MdfA,efflux pump
D8MQN9,Multidrug resistance protein MdtG,efflux pump
E0T2N0,Multidrug transporter MdfA,efflux pump
E1ANH6,Beta-lactamase CTX-M-97,product inactivation
E1WFA0,Virulence sensor histidine kinase PhoQ,target alteration, efflux pump
E1WFA1,Virulence transcriptional regulatory protein PhoP,target alteration, efflux pump
E3GC98,Multidrug resistance protein MdtG,efflux pump
E8XY75,Multidrug resistance protein MdtG,efflux pump
F2EYD8,Multidrug resistance protein MdtA,efflux pump
F2EYE0,Multidrug resistance protein MdtC,efflux pump
F2R776,Rifampicin monooxygenase,product inactivation
F5ZP94,Virulence sensor histidine kinase PhoQ,target alteration, efflux pump
F5ZP95,Virulence transcriptional regulatory protein PhoP,target alteration, efflux pump
I6YBX3,Pentapeptide repeat protein MfpA,target protection
J9RX10,Outer membrane protein YedS,efflux pump
O05197,Tetracycline resistance protein TetQ,target protection
O05224,Putative arsenical pump membrane protein,efflux pump
O05465,Beta-lactamase,product inactivation
O05701,Dihydropteroate synthase,target alteration
O06967,Multidrug resistance ABC transporter ATP-binding/permease protein BmrA,efflux pump
O07293,Beta-lactamase OXA-18,product inactivation
O07549,Probable multidrug resistance ABC transporter ATP-binding/permease protein YheH,efflux pump
O07550,Probable multidrug resistance ABC transporter ATP-binding/permease protein YheI,efflux pump
O08337,Beta-lactamase SHV-8,product inactivation
O08498,Metallo-beta-lactamase type 2,product inactivation
O31099,Solvent efflux pump periplasmic linker SrpA,efflux pump
O31100,Solvent-resistant pump membrane transporter SrpB,efflux pump
O31101,Solvent efflux pump outer membrane protein SrpC,efflux pump
O31501,Swarming motility protein SwrC,efflux pump
O31817,Metallothiol transferase FosB,product inactivation
O31855,Probable multidrug resistance protein NorM,efflux pump
O32003,SPbeta prophage-derived aminoglycoside N(3')-acetyltransferase-like protein YokD,product inactivation
O32859,Multidrug efflux pump Tap,efflux pump
O33807,Beta-lactamase CTX-M-4,product inactivation
O34474,Probable multidrug resistance protein YoeA,efflux pump
O34697,Bacitracin export ATP-binding protein BceA,efflux pump
O35018,Lincomycin resistance protein LmrB,efflux pump
O51273,Undecaprenyl-diphosphatase,target alteration
O52248,Toluene efflux pump membrane transporter TtgB,efflux pump
O52271,DNA-directed RNA polymerase subunit beta,target replacement
O52324,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
O52325,Bifunctional polymyxin resistance protein ArnA,target alteration
O52327,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
O52836,Tetracycline resistance protein TetW,target protection
O53645,Multidrug efflux ATP-binding/permease protein Rv0194,efflux pump
O54281,Methicillin resistance regulatory protein MecI,target replacement
O65975,Beta-lactamase CTX-M-5,product inactivation
O65976,Beta-lactamase CTX-M-6,product inactivation
O67939,Undecaprenyl-diphosphatase,target alteration
O69279,Guanidinium exporter,efflux pump
O69395,Beta-lactamase Toho-2,product inactivation
O69773,Beta-lactamase,product inactivation
O82855,Multidrug resistance protein NorM,efflux pump
O84955,Beta-lactamase OXA-20,product inactivation
O86094,DNA-directed RNA polymerase subunit beta,target replacement
O86311,Multidrug efflux system ATP-binding protein Rv1218c,efflux pump
O87866,Quaternary ammonium compound-resistance protein QacG,efflux pump
O87868,Quaternary ammonium compound-resistance protein QacH,efflux pump
P00381,Dihydrofolate reductase,product inactivation
P00382,Dihydrofolate reductase type 1,product inactivation
P00383,Dihydrofolate reductase type 2,product inactivation
P00384,Dihydrofolate reductase type 2,product inactivation
P00484,Chloramphenicol acetyltransferase 3,product inactivation
P00485,Chloramphenicol acetyltransferase,product inactivation
P00486,Chloramphenicol acetyltransferase,product inactivation
P00487,Chloramphenicol acetyltransferase,product inactivation
P00551,Aminoglycoside 3'-phosphotransferase,product inactivation
P00552,Aminoglycoside 3'-phosphotransferase,product inactivation
P00553,Aminoglycoside 3'-phosphotransferase,product inactivation
P00555,Aminoglycoside 3'-phosphotransferase,product inactivation
P00557,Hygromycin-B 4-O-kinase,product inactivation
P00807,Beta-lactamase,product inactivation
P00808,Beta-lactamase,product inactivation
P00809,Beta-lactamase 1,product inactivation
P00811,Beta-lactamase,product inactivation
P00956,Isoleucine--tRNA ligase,target alteration
P02930,Outer membrane protein TolC,efflux pump
P02931,Outer membrane porin F,efflux pump
P02979,rRNA adenine N-6-methyltransferase,target alteration
P02980,Tetracycline resistance protein, class B,efflux pump
P02981,Tetracycline resistance protein, class C,efflux pump
P02982,Tetracycline resistance protein, class A,efflux pump
P02983,Tetracycline resistance protein,efflux pump
P04129,Mercuric transport protein periplasmic component,efflux pump
P04131,Mercuric transport protein periplasmic component,efflux pump
P04174,Dihydrofolate reductase,product inactivation
P04190,Metallo-beta-lactamase type 2,product inactivation
P05057,Kanamycin nucleotidyltransferase,product inactivation
P05058,Kanamycin nucleotidyltransferase,product inactivation
P05192,Beta-lactamase,product inactivation
P05193,Beta-lactamase,product inactivation
P05364,Beta-lactamase,product inactivation
P05382,Dihydropteroate synthase,target alteration
P05789,Erythromycin esterase type II,product inactivation
P05794,Dihydrofolate reductase type 2,product inactivation
P06107,Lincosamide resistance protein,product inactivation
P06135,Chloramphenicol acetyltransferase,product inactivation
P06548,Beta-lactamase 3,product inactivation
P06571,rRNA adenine N-6-methyltransferase,target alteration
P06572,rRNA adenine N-6-methyltransferase,target alteration
P06573,rRNA adenine N-6-methyltransferase,target alteration
P06690,Broad mercury transporter MerE,efflux pump
P06992,Ribosomal RNA small subunit methyltransferase A,target alteration
P06996,Outer membrane porin C,efflux pump
P07287,rRNA adenine N-6-methyltransferase,target alteration
P07561,Tetracycline resistance protein,efflux pump
P07641,Chloramphenicol acetyltransferase,product inactivation
P07684,Erythromycin esterase type I,product inactivation
P07944,Beta-lactam-inducible penicillin-binding protein,product inactivation
P08077,Streptomycin 6-kinase,product inactivation
P08149,Probable peptidoglycan D,D-transpeptidase PenA,target replacement
P08457,Streptothricin acetyltransferase,product inactivation
P08691,Arsenical pump membrane protein,efflux pump
P08881,Aminoglycoside (3'') (9) adenylyltransferase,product inactivation
P08988,Aminoglycoside N(3)-acetyltransferase IV,product inactivation
P09757,Tetracycline resistance protein TetM,target protection
P09885,Aminoglycoside 3'-phosphotransferase,product inactivation
P09891,rRNA adenine N-6-methyltransferase,target alteration
P09979,Hygromycin-B 7''-O-kinase,product inactivation
P0A0A9,Methicillin resistance mecR1 protein,target replacement
P0A0B0,Methicillin resistance mecR1 protein,target replacement
P0A0B1,Methicillin resistance mecR1 protein,target replacement
P0A0B2,Methicillin resistance mecR1 protein,target replacement
P0A0C0,Bifunctional AAC/APH,product inactivation
P0A0C1,Bifunctional AAC/APH,product inactivation
P0A0C2,Bifunctional AAC/APH,product inactivation
P0A0D0,Spectinomycin 9-adenylyltransferase,product inactivation
P0A0D1,Spectinomycin 9-adenylyltransferase,product inactivation
P0A0D2,Spectinomycin 9-adenylyltransferase,product inactivation
P0A0H1,rRNA adenine N-6-methyltransferase,target alteration
P0A0H2,rRNA adenine N-6-methyltransferase,target alteration
P0A0H3,rRNA adenine N-6-methyltransferase,target alteration
P0A0J4,Quinolone resistance protein NorA,efflux pump
P0A0J5,Quinolone resistance protein NorA,efflux pump
P0A0J6,Quinolone resistance protein NorA,efflux pump
P0A0J7,Quinolone resistance protein NorA,efflux pump
P0A0U8,Probable peptidoglycan D,D-transpeptidase PenA,target replacement
P0A0U9,Probable peptidoglycan D,D-transpeptidase PenA,target replacement
P0A1V8,Beta-lactamase OXA-2,product inactivation
P0A1V9,Beta-lactamase OXA-2,product inactivation
P0A216,Mercuric transport protein periplasmic component,efflux pump
P0A217,Mercuric transport protein periplasmic component,efflux pump
P0A218,Mercuric transport protein periplasmic component,efflux pump
P0A255,Aminoglycoside N(3)-acetyltransferase III,product inactivation
P0A256,Aminoglycoside N(3)-acetyltransferase III,product inactivation
P0A2S4,Multiple antibiotic resistance protein MarA,efflux pump
P0A2S5,Multiple antibiotic resistance protein MarA,efflux pump
P0A2S6,Multiple antibiotic resistance protein MarA,efflux pump
P0A3M1,Beta-lactamase SHV-5,product inactivation
P0A3M2,Beta-lactamase SHV-5,product inactivation
P0A3M3,Beta-lactamase OXA-9,product inactivation
P0A3M4,Beta-lactamase OXA-9,product inactivation
P0A3Y5,Aminoglycoside 3'-phosphotransferase,product inactivation
P0A3Y6,Aminoglycoside 3'-phosphotransferase,product inactivation
P0A4D5,rRNA adenine N-6-methyltransferase,target alteration
P0A4D6,rRNA adenine N-6-methyltransferase,target alteration
P0A4K4,Multi-drug resistance efflux pump PmrA,efflux pump
P0A4K5,Multi-drug resistance efflux pump PmrA,efflux pump
P0A4K6,Tetracycline resistance protein,efflux pump
P0A4K7,Tetracycline resistance protein,efflux pump
P0A4K8,Tetracycline resistance protein,efflux pump
P0A5I7,Beta-lactamase,product inactivation
P0A5N1,Aminoglycoside 2'-N-acetyltransferase,product inactivation
P0A6N2,Elongation factor Tu,target alteration
P0A6N3,Elongation factor Tu,target alteration
P0A8V2,DNA-directed RNA polymerase subunit beta,target replacement
P0A910,Outer membrane protein A,efflux pump
P0A9Z7,Beta-lactamase SHV-2,product inactivation
P0A9Z8,Beta-lactamase SHV-2,product inactivation
P0A9Z9,Beta-lactamase SHV-2,product inactivation
P0AA00,Beta-lactamase SHV-2,product inactivation
P0AAG5,Multidrug resistance-like ATP-binding protein MdlB,efflux pump
P0AAG6,Multidrug resistance-like ATP-binding protein MdlB,efflux pump
P0AAG7,Multidrug resistance-like ATP-binding protein MdlB,efflux pump
P0AAH4,Putrescine export system ATP-binding protein SapD,efflux pump
P0AAH5,Peptide transport system ATP-binding protein SapD,efflux pump
P0AAH6,Peptide transport system ATP-binding protein SapD,efflux pump
P0AAH7,Peptide transport system ATP-binding protein SapD,efflux pump
P0AAH8,Putrescine export system ATP-binding protein SapF,efflux pump
P0AAH9,Peptide transport system ATP-binding protein SapF,efflux pump
P0AAI0,Peptide transport system ATP-binding protein SapF,efflux pump
P0AB93,Arsenical pump membrane protein,efflux pump
P0AB94,Arsenical pump membrane protein,efflux pump
P0AB95,Arsenical pump membrane protein,efflux pump
P0ABQ4,Dihydrofolate reductase,product inactivation
P0ABQ7,Dihydrofolate reductase type 8,product inactivation
P0ABQ8,Dihydrofolate reductase type 8,product inactivation
P0AC11,Dihydropteroate synthase type-2,target alteration
P0ACH5,Multiple antibiotic resistance protein MarA,efflux pump
P0ACH6,Multiple antibiotic resistance protein MarA,efflux pump
P0ACH7,Multiple antibiotic resistance protein MarA,efflux pump
P0AD63,Beta-lactamase SHV-1,product inactivation
P0AD64,Beta-lactamase SHV-1,product inactivation
P0ADL1,Purine ribonucleoside efflux pump NepI,efflux pump
P0ADL2,Purine ribonucleoside efflux pump NepI,efflux pump
P0AE04,2''-aminoglycoside nucleotidyltransferase,product inactivation
P0AE05,2''-aminoglycoside nucleotidyltransferase,product inactivation
P0AE06,Multidrug efflux pump subunit AcrA,efflux pump
P0AE07,Multidrug efflux pump subunit AcrA,efflux pump
P0AE82,Sensor histidine kinase CpxA,efflux pump
P0AEJ0,Multidrug export protein EmrB,efflux pump
P0AEJ1,Multidrug export protein EmrB,efflux pump
P0AEY8,Multidrug transporter MdfA,efflux pump
P0AEY9,Multidrug transporter MdfA,efflux pump
P0AEZ0,Multidrug transporter MdfA,efflux pump
P0AG05,Aminoglycoside (3'') (9) adenylyltransferase,product inactivation
P0AG06,Aminoglycoside (3'') (9) adenylyltransferase,product inactivation
P0AGC9,Quaternary ammonium compound-resistance protein QacE,efflux pump
P0AGD0,Quaternary ammonium compound-resistance protein QacE,efflux pump
P0C000,Response regulator ArlR,efflux pump
P0C001,Response regulator ArlR,efflux pump
P0C002,Dihydropteroate synthase type-1,target alteration
P0C003,Dihydropteroate synthase type-1,target alteration
P0C004,Dihydropteroate synthase type-1,target alteration
P0C069,Multidrug/solvent efflux pump periplasmic linker protein MepA,efflux pump
P0C070,Multidrug/solvent efflux pump membrane transporter MepB,efflux pump
P0C071,Multidrug/solvent efflux pump outer membrane protein MepC,efflux pump
P0C0R6,Bifunctional polymyxin resistance protein ArnA,target alteration
P0C1S0,HTH-type transcriptional regulator MgrA,efflux pump
P0C2H2,Macrolide export ATP-binding/permease protein MacB,efflux pump
P0C2H3,Macrolide export ATP-binding/permease protein MacB 2,efflux pump
P0C566,Purine ribonucleoside efflux pump NepI,efflux pump
P0C7H7,Spermidine export protein MdtI,efflux pump
P0CE47,Elongation factor Tu 1,target alteration
P0CE48,Elongation factor Tu 2,target alteration
P0CW80,Multidrug resistance protein EbrA,efflux pump
P0CW81,Multidrug resistance protein EbrA,efflux pump
P0CW82,Multidrug resistance protein EbrB,efflux pump
P0CW83,Multidrug resistance protein EbrB,efflux pump
P0DH30,Undecaprenyl-diphosphatase,target alteration
P0DH31,Undecaprenyl-diphosphatase,target alteration
P0DM78,Virulence transcriptional regulatory protein PhoP,target alteration, efflux pump
P0DM80,Virulence sensor histidine kinase PhoQ,target alteration, efflux pump
P0DPR4,Quinolone resistance transporter,efflux pump
P0DPR5,Fosfomycin resistance protein AbaF,efflux pump
P0DPR6,Colistin resistance protein EmrA,efflux pump
P0DPR7,Colistin resistance protein EmrB,efflux pump
P0DTV9,Streptomycin 6-adenylyltransferase,product inactivation
P10051,Aminoglycoside N(6')-acetyltransferase type 1,product inactivation
P10337,rRNA adenine N-6-methyltransferase,target alteration
P10424,Beta-lactamase 1,product inactivation
P10425,Metallo-beta-lactamase type 2,product inactivation
P10509,Beta-lactamase,product inactivation
P10738,rRNA adenine N-6-methyltransferase,target alteration
P10952,Tetracycline resistance protein TetO,target protection
P11131,Tetracycline resistance protein TetM from transposon Tn1545,target protection
P11504,Chloramphenicol acetyltransferase,product inactivation
P11545,Methylenomycin A resistance protein,efflux pump
P11731,Dihydrofolate reductase type 5,product inactivation
P12055,Aminoglycoside 6-adenylyltransferase,product inactivation
P12056,Chloramphenicol resistance protein,efflux pump
P12287,Regulatory protein BlaR1,product inactivation
P12833,Dihydrofolate reductase type 3,product inactivation
P12921,Tunicamycin resistance protein,efflux pump
P13018,Streptothricin acetyltransferase,product inactivation
P13079,rRNA methyltransferase,target alteration
P13081,Bleomycin resistance protein,product inactivation
P13082,Streptomycin 3''-kinase,product inactivation
P13113,Mercuric transport protein periplasmic component,efflux pump
P13246,Aminoglycoside N(3)-acetyltransferase III,product inactivation
P13250,Aminoglycoside 3'-phosphotransferase,product inactivation
P13511,Cobalt-zinc-cadmium resistance protein CzcA,efflux pump
P13661,Beta-lactamase OXA-1,product inactivation
P13924,Tetracycline resistance protein,efflux pump
P13955,Dihydrofolate reductase type 1 from Tn4003,product inactivation
P13956,rRNA adenine N-6-methyltransferase,target alteration
P13957,rRNA adenine N-6-methyltransferase,target alteration
P13978,rRNA adenine N-6-methyltransferase,target alteration
P14171,Beta-lactamase,product inactivation
P14319,Quaternary ammonium compound-resistance protein QacC,efflux pump
P14488,Metallo-beta-lactamase type 2,product inactivation
P14489,Beta-lactamase OXA-10,product inactivation
P14508,Aminoglycoside 3'-phosphotransferase,product inactivation
P14509,Aminoglycoside 3'-phosphotransferase,product inactivation
P14510,Kanamycin resistance protein (Fragment),product inactivation
P14511,Aminoglycoside (3'') (9) adenylyltransferase,product inactivation
P14551,Tetracycline resistance determinant,efflux pump
P14559,Beta-lactamase,product inactivation
P14560,Beta-lactamase 2,product inactivation
P16426,Phosphinothricin N-acetyltransferase,product inactivation
P16897,Beta-lactamase PSE-4,product inactivation
P16898,rRNA adenine N-6-methyltransferase,target alteration
P17493,Bleomycin resistance protein,product inactivation
P17585,Aminoglycoside 6-adenylyltransferase,product inactivation
P17978,Virginiamycin B lyase,product inactivation
P18150,Streptomycin 3''-kinase,product inactivation
P18251,Beta-lactamase Ohio-1,product inactivation
P18330,Isoleucine--tRNA ligase 1,target alteration
P18357,Regulatory protein BlaR1,product inactivation
P18539,Beta-lactamase,product inactivation
P18622,Streptomycin 6-kinase,product inactivation
P18623,Viomycin phosphotransferase,product inactivation
P18644,23S rRNA (adenosine(1067)-2'-O)-methyltransferase,target alteration
P19650,Aminoglycoside N(6')-acetyltransferase type 1,product inactivation
P20074,Chloramphenicol acetyltransferase,product inactivation
P20092,Aminoglycoside N(6')-acetyltransferase type 1,product inactivation
P20169,Drug sensory protein A,target alteration
P20173,rRNA adenine N-6-methyltransferase,target alteration
P20174,Tetracycline resistance protein TetO,target protection
P20928,Guanidinium exporter,efflux pump
P21236,rRNA adenine N-6-methyltransferase,target alteration
P21598,Tetracycline resistance protein TetM from transposon Tn916,target protection
P21861,Phosphinothricin N-acetyltransferase,product inactivation
P22390,Beta-lactamase,product inactivation
P22391,Beta-lactamase OXY-1,product inactivation
P22615,Chloramphenicol acetyltransferase 2,product inactivation
P22616,Chloramphenicol acetyltransferase 2,product inactivation
P22782,Chloramphenicol acetyltransferase,product inactivation
P22905,Mercuric transport protein MerC,efflux pump
P23054,Tetracycline resistance protein,efflux pump
P23181,Gentamicin 3-N-acetyltransferase,product inactivation
P23212,Erythromycin resistance ATP-binding protein MsrA,target protection
P23364,Chloramphenicol acetyltransferase,product inactivation
P23835,Tetracycline resistance protein TetO,target protection
P23836,Transcriptional regulatory protein PhoP,target alteration, efflux pump
P23837,Sensor protein PhoQ,target alteration, efflux pump
P23895,Multidrug transporter EmrE,efflux pump
P23954,Beta-lactamase OXY-2,product inactivation
P24126,Fusaric acid resistance protein FusA,target alteration
P24177,Probable aminoglycoside efflux pump,efflux pump
P24180,Multidrug export protein AcrE,efflux pump
P24181,Multidrug export protein AcrF,efflux pump
P24618,16S rRNA (guanine(1405)-N(7))-methyltransferase,target alteration
P24619,16S rRNA (guanine(1405)-N(7))-methyltransferase,target alteration
P24735,Beta-lactamase,product inactivation
P25051,Vancomycin/teicoplanin A-type resistance protein VanA,target alteration
P25256,Tylosin resistance ATP-binding protein TlrC,efflux pump
P25309,Chloramphenicol acetyltransferase,product inactivation
P25744,Multidrug resistance protein MdtG,efflux pump
P25910,Metallo-beta-lactamase type 2,product inactivation
P25919,rRNA methyltransferase,target alteration
P25920,16S rRNA (adenine(1408)-N(1))-methyltransferase,target alteration
P26825,Chloramphenicol acetyltransferase,product inactivation
P26826,Chloramphenicol acetyltransferase,product inactivation
P26838,Chloramphenicol acetyltransferase,product inactivation
P26839,Virginiamycin A acetyltransferase,product inactivation
P26840,Probable macrolide acetyltransferase (Fragment),product inactivation
P26841,Chloramphenicol acetyltransferase,product inactivation
P26918,Metallo-beta-lactamase type 2,product inactivation
P27173,Multi-drug resistance efflux pump PmrA homolog (Fragment),efflux pump
P27303,Multidrug export protein EmrA,efflux pump
P27422,Dihydrofolate reductase type 7,product inactivation
P28018,Beta-lactamase 1,product inactivation
P28246,Bicyclomycin resistance protein,efflux pump
P28585,Beta-lactamase CTX-M-1,product inactivation
P29753,Vancomycin C-type resistance protein VanC,target alteration
P29806,2''-aminoglycoside nucleotidyltransferase,product inactivation
P29807,Aminoglycoside N(3)-acetyltransferase III,product inactivation
P29808,Aminoglycoside N(3)-acetyltransferase III,product inactivation
P29809,Aminoglycoside N(3)-acetyltransferase VIII,product inactivation
P29810,Aminoglycoside N(3)-acetyltransferase IX,product inactivation
P30180,Aminoglycoside N(3)-acetyltransferase VII,product inactivation
P30329,Arsenical pump membrane protein,efflux pump
P30843,Transcriptional regulatory protein BasR,target alteration, efflux pump
P30845,Phosphoethanolamine transferase EptA,target alteration
P30896,Beta-lactamase SHV-3,product inactivation
P30897,Beta-lactamase,product inactivation
P30898,Beta-lactamase,product inactivation
P30899,Beta-lactamase,product inactivation
P31141,Chloramphenicol resistance protein,efflux pump
P31224,Multidrug efflux pump subunit AcrB,efflux pump
P31442,Multidrug resistance protein D,efflux pump
P31462,Multidrug resistance protein MdtL,efflux pump
P31554,LPS-assembly protein LptD,efflux pump
P31668,Phosphinothricin N-acetyltransferase,product inactivation
P32010,Daunorubicin/doxorubicin resistance ATP-binding protein DrrA,efflux pump
P32011,Daunorubicin/doxorubicin resistance ABC transporter permease protein DrrB,efflux pump
P32482,Chloramphenicol resistance protein,efflux pump
P32714,Multidrug resistance outer membrane protein MdtP,efflux pump
P32715,Multidrug resistance protein MdtO,efflux pump
P32716,Multidrug resistance protein MdtN,efflux pump
P33369,Putative multidrug resistance outer membrane protein MdtQ,efflux pump
P33449,Multidrug resistance protein 1,efflux pump
P33733,Tetracycline resistance protein, class D,efflux pump
P33941,ABC transporter ATP-binding/permease protein YojI,efflux pump
P35391,Beta-lactamase,product inactivation
P35392,Beta-lactamase,product inactivation
P35393,Beta-lactamase,product inactivation
P35695,Beta-lactamase OXA-7,product inactivation
P36554,Putative multidrug resistance protein MdtD,efflux pump
P36555,Phosphoethanolamine transferase EptA,target alteration
P36556,Transcriptional regulatory protein BasR,target alteration, efflux pump
P36636,Peptide transport system ATP-binding protein SapD,efflux pump
P36638,Peptide transport system ATP-binding protein SapF,efflux pump
P36882,Chloramphenicol acetyltransferase,product inactivation
P36883,Chloramphenicol acetyltransferase,product inactivation
P36890,Tetracycline resistance protein,efflux pump
P36979,Dual-specificity RNA methyltransferase RlmN,target alteration
P37000,Putative 23S rRNA (guanine-N(1)-)-methyltransferase,target alteration
P37321,Extended-spectrum beta-lactamase PER-1,product inactivation
P37322,Beta-lactamase CARB-3,product inactivation
P37323,Beta-lactamase SHV-4,product inactivation
P37340,Multidrug resistance protein MdtK,efflux pump
P37506,Streptothricin acetyltransferase A,product inactivation
P37594,Methyl viologen resistance protein SmvA,efflux pump
P37636,Multidrug resistance protein MdtE,efflux pump
P37637,Multidrug resistance protein MdtF,efflux pump
P37639,HTH-type transcriptional regulator GadX,efflux pump
P37711,D-alanyl-D-alanine carboxypeptidase,target alteration
P37774,L-cystine transport system ATP-binding protein TcyN,efflux pump
P37870,DNA-directed RNA polymerase subunit beta,target replacement
P37972,Nickel and cobalt resistance protein CnrA,efflux pump
P38054,Cation efflux system protein CusA,efflux pump
P39115,Ribosome protection protein VmlR,target protection
P39386,Multidrug resistance protein MdtM,efflux pump
P39438,Undecaprenyl-diphosphatase (Fragment),target alteration
P39824,Beta-lactamase,product inactivation
P39843,Multidrug resistance protein 2,efflux pump
P39886,Tetracenomycin C resistance and export protein,efflux pump
P39897,HTH-type transcriptional regulator MtrR,efflux pump
P41368,Isoleucine--tRNA ligase,target alteration
P42332,Bacitracin transport ATP-binding protein BcrA,efflux pump
P42333,Bacitracin transport permease protein BCRB,efflux pump
P42334,Bacitracin transport permease protein BcrC,efflux pump
P42423,ABC transporter ATP-binding protein YxdL,efflux pump
P42670,Puromycin resistance protein pur8,efflux pump
P42971,Penicillin-binding protein 3,target replacement
P43433,Mycinamicin-resistance protein MyrB,target alteration
P43791,Dihydrofolate reductase,product inactivation
P44927,Multidrug export protein EmrB,efflux pump
P44928,Multidrug export protein EmrA,efflux pump
P45123,Bicyclomycin resistance protein homolog,efflux pump
P45272,Multidrug resistance protein HmrM,efflux pump
P45289,Peptide transport system ATP-binding protein SapF,efflux pump
P45438,rRNA adenine N-6-methyltransferase,target alteration
P45439,rRNA adenine N-6-methyltransferase,target alteration
P45460,Beta-lactamase,product inactivation
P46104,Lincomycin resistance protein,efflux pump
P46105,Probable actinorhodin transporter,efflux pump
P49417,Chloramphenicol acetyltransferase,product inactivation
P49856,Probable guanidinium efflux system subunit GdnC,efflux pump
P49857,Probable guanidinium efflux system subunit GdnD,efflux pump
P50858,Aminoglycoside N(6')-acetyltransferase type 1,product inactivation
P50868,Chloramphenicol acetyltransferase,product inactivation
P50869,Chloramphenicol acetyltransferase,product inactivation
P50870,Streptogramin A acetyltransferase,product inactivation
P51563,Tetracycline resistance protein, class G,efflux pump
P51564,Tetracycline resistance protein, class H,efflux pump
P52002,Multidrug resistance protein MexB,efflux pump
P52067,Fosmidomycin resistance protein,product inactivation
P52146,Arsenical pump membrane protein,efflux pump
P52391,23S rRNA (adenosine(1067)-2'-O)-methyltransferase,target alteration
P52393,23S rRNA (adenosine(1067)-2'-O)-methyltransferase,target alteration
P52477,Multidrug resistance protein MexA,efflux pump
P52599,Probable multidrug resistance protein EmrK,efflux pump
P52600,Probable multidrug resistance protein EmrY,efflux pump
P52663,Imipenem-hydrolyzing beta-lactamase,product inactivation
P52664,Beta-lactamase,product inactivation
P52682,Carbapenem-hydrolyzing beta-lactamase Sme-1,product inactivation
P52699,Metallo-beta-lactamase type 2,product inactivation
P52700,Metallo-beta-lactamase L1 type 3,product inactivation
P54427,Probable beta-lactamase YbxI,product inactivation
P57170,Undecaprenyl-diphosphatase,target alteration
P57551,Multidrug resistance-like ATP-binding protein MdlA,efflux pump
P57552,Multidrug resistance-like ATP-binding protein MdlB,efflux pump
P58120,Multi-drug resistance efflux pump PmrA homolog,efflux pump
P58163,Probable multidrug resistance protein NorM,efflux pump
P58164,Multidrug resistance protein MdtK,efflux pump
P58230,HTH-type transcriptional regulator GadX,efflux pump
P58411,Macrolide export protein MacA,efflux pump
P58740,Undecaprenyl-diphosphatase 1,target alteration
P58741,Undecaprenyl-diphosphatase 2,target alteration
P58777,Chloramphenicol acetyltransferase,product inactivation
P59291,Metallothiol transferase FosB,product inactivation
P59523,Undecaprenyl-diphosphatase,target alteration
P59655,Dihydropteroate synthase,target alteration
P60281,DNA-directed RNA polymerase subunit beta,target replacement
P60863,Metallothiol transferase FosB,product inactivation
P60864,Metallothiol transferase FosB,product inactivation
P60865,Metallothiol transferase FosB,product inactivation
