CARD Accession (4571),Protein Accession,Description,Resistance Mechanism,Drug Class
ARO:3003007,AAA22277.1,major facilitator superfamily (MFS) antibiotic efflux pump,efflux pump,acridine dye;disinfecting agents and intercalating dyes;fluoroquinolone antibiotic;nucleoside antibiotic;phenicol antibiotic
ARO:3003009,AAB58160.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,aminoglycoside antibiotic;fluoroquinolone antibiotic
ARO:3003010,AAB58161.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,aminoglycoside antibiotic;fluoroquinolone antibiotic
ARO:3003011,AHG97174.1,trimethoprim resistant dihydrofolate reductase dfr,target replacement,diaminopyrimidine antibiotic
ARO:3003012,CAA90683.1,trimethoprim resistant dihydrofolate reductase dfr,target replacement,diaminopyrimidine antibiotic
ARO:3003013,AHB39758.1,trimethoprim resistant dihydrofolate reductase dfr,target replacement,diaminopyrimidine antibiotic
ARO:3003014,AAK60186.1,trimethoprim resistant dihydrofolate reductase dfr,target replacement,diaminopyrimidine antibiotic
ARO:3003015,CAC81324.1,trimethoprim resistant dihydrofolate reductase dfr,target replacement,diaminopyrimidine antibiotic
ARO:3003016,CAE53424.1,trimethoprim resistant dihydrofolate reductase dfr,target replacement,diaminopyrimidine antibiotic
ARO:3003017,CAP69659.1,trimethoprim resistant dihydrofolate reductase dfr,target replacement,diaminopyrimidine antibiotic
ARO:3003018,AGY30828.1,trimethoprim resistant dihydrofolate reductase dfr,target replacement,diaminopyrimidine antibiotic
ARO:3003019,CAG34233.2,trimethoprim resistant dihydrofolate reductase dfr,target replacement,diaminopyrimidine antibiotic
ARO:3003020,ABB71176.1,trimethoprim resistant dihydrofolate reductase dfr,target replacement,diaminopyrimidine antibiotic
ARO:3003021,ABI20482.1,trimethoprim resistant dihydrofolate reductase dfr,target replacement,diaminopyrimidine antibiotic
ARO:3003022,ACR57831.1,trimethoprim resistant dihydrofolate reductase dfr,target replacement,diaminopyrimidine antibiotic
ARO:3003023,ADO00942.1,trimethoprim resistant dihydrofolate reductase dfr,target replacement,diaminopyrimidine antibiotic
ARO:3003026,CAA90432.1,fusidic acid inactivation enzyme,product inactivation,fusidic acid
ARO:3003030,AAG07762.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,acridine dye;disinfecting agents and intercalating dyes;fluoroquinolone antibiotic;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic
ARO:3003031,AAG07763.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,acridine dye;disinfecting agents and intercalating dyes;fluoroquinolone antibiotic;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic
ARO:3003033,BAA34300.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,acridine dye;aminoglycoside antibiotic;carbapenem;cephalosporin;cephamycin;disinfecting agents and intercalating dyes;fluoroquinolone antibiotic;macrolide antibiotic;penam;phenicol antibiotic;tetracycline antibiotic
ARO:3003034,BAA34299.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,acridine dye;aminoglycoside antibiotic;carbapenem;cephalosporin;cephamycin;disinfecting agents and intercalating dyes;fluoroquinolone antibiotic;macrolide antibiotic;penam;phenicol antibiotic;tetracycline antibiotic
ARO:3003035,CCP46182.1,quinolone resistance protein (qnr),target protection,fluoroquinolone antibiotic
ARO:3003036,AAA50325.1,ABC-F ATP-binding cassette ribosomal protection protein,target protection,lincosamide antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic;tetracycline antibiotic
ARO:3003037,AAC43969.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,aminoglycoside antibiotic;fluoroquinolone antibiotic
ARO:3003039,BAM10414.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,aminoglycoside antibiotic;carbapenem;fluoroquinolone antibiotic;macrolide antibiotic;tetracycline antibiotic
ARO:3003046,BAJ09383.1,major facilitator superfamily (MFS) antibiotic efflux pump,efflux pump,fluoroquinolone antibiotic
ARO:3003047,AAQ10694.1,major facilitator superfamily (MFS) antibiotic efflux pump,efflux pump,fluoroquinolone antibiotic
ARO:3003048,AAC60781.1,major facilitator superfamily (MFS) antibiotic efflux pump,efflux pump,peptide antibiotic
ARO:3003049,AAC60780.1,major facilitator superfamily (MFS) antibiotic efflux pump,efflux pump,peptide antibiotic
ARO:3003051,AAD51344.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,aminoglycoside antibiotic;cephalosporin;cephamycin;penam
ARO:3003052,AAD51345.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,aminoglycoside antibiotic;cephalosporin;cephamycin;penam
ARO:3003053,AAD51346.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,aminoglycoside antibiotic;cephalosporin;cephamycin;penam
ARO:3003055,CAC14594.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,fluoroquinolone antibiotic;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic
ARO:3003056,CAC14595.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,fluoroquinolone antibiotic;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic
ARO:3003057,CAC14596.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,fluoroquinolone antibiotic;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic
ARO:3003060,AAA99931.1,non-erm 23S ribosomal RNA methyltransferase (A1067),target alteration,peptide antibiotic
ARO:3003061,CAA26235.1,viomycin phosphotransferase,product inactivation,peptide antibiotic
ARO:3003063,CAB13166.1,small multidrug resistance (SMR) antibiotic efflux pump,efflux pump,aminoglycoside antibiotic;phenicol antibiotic;tetracycline antibiotic
ARO:3003064,CAB13167.1,small multidrug resistance (SMR) antibiotic efflux pump,efflux pump,aminoglycoside antibiotic;phenicol antibiotic;tetracycline antibiotic
ARO:3003066,AAD51348.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,aminoglycoside antibiotic;cephalosporin;cephamycin;penam
ARO:3003067,AAD51347.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,aminoglycoside antibiotic;cephalosporin;cephamycin;penam
ARO:3003069,ABA71732.1,glycopeptide resistance gene cluster;vanXY,target alteration,glycopeptide antibiotic
ARO:3003070,AAM09852.1,glycopeptide resistance gene cluster;vanX,target alteration,glycopeptide antibiotic
ARO:3003071,CAJ98570.1,macrolide phosphotransferase (MPH),product inactivation,macrolide antibiotic
ARO:3003072,EEL41021.1,macrolide phosphotransferase (MPH),product inactivation,macrolide antibiotic
ARO:3003093,AAM63403.1,CphA beta-lactamase,product inactivation,carbapenem
ARO:3003094,CAD69003.1,CphA beta-lactamase,product inactivation,carbapenem
ARO:3003095,CAA71441.1,CphA beta-lactamase,product inactivation,carbapenem
ARO:3003096,AAV37206.1,CfxA beta-lactamase,product inactivation,cephamycin
ARO:3003097,ACT97371.1,CfxA beta-lactamase,product inactivation,cephamycin
ARO:3003099,AAB03413.1,CphA beta-lactamase,product inactivation,carbapenem
ARO:3003100,AAP69912.1,CphA beta-lactamase,product inactivation,carbapenem
ARO:3003101,AAP69913.1,CphA beta-lactamase,product inactivation,carbapenem
ARO:3003102,AAP69914.1,CphA beta-lactamase,product inactivation,carbapenem
ARO:3003103,AAP69915.1,CphA beta-lactamase,product inactivation,carbapenem
ARO:3003104,AAP97129.1,CphA beta-lactamase,product inactivation,carbapenem
ARO:3003105,AAA25550.1,trimethoprim resistant dihydrofolate reductase dfr,target replacement,diaminopyrimidine antibiotic
ARO:3003106,CBY77552.1,Erm 23S ribosomal RNA methyltransferase,target alteration,lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic
ARO:3003107,ACJ63262.1,major facilitator superfamily (MFS) antibiotic efflux pump,efflux pump,macrolide antibiotic
ARO:3003109,ACB05808.1,ABC-F ATP-binding cassette ribosomal protection protein,target protection,lincosamide antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic;tetracycline antibiotic
ARO:3003110,ACL13298.1,chloramphenicol acetyltransferase (CAT),product inactivation,phenicol antibiotic
ARO:3003111,CAE18141.1,ABC-F ATP-binding cassette ribosomal protection protein,target protection,lincosamide antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic;tetracycline antibiotic
ARO:3003112,AEA37904.1,ABC-F ATP-binding cassette ribosomal protection protein,target protection,lincosamide antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic;tetracycline antibiotic
ARO:3003115,ARO85965.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003116,BAP28835.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003117,AIZ00987.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003120,AJG01375.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003121,WP_063862927.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003124,AJG01377.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003125,AJG01378.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003126,AJG01379.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003128,ARX76025.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003129,AIZ48988.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3003130,WP_063859757.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3003132,WP_063859763.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3003133,WP_063859768.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3003135,AKO62864.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3003136,AKO62865.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3003137,AKO62866.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3003138,AKI06385.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3003139,WP_063860839.1,MIR beta-lactamase,product inactivation,cephalosporin;monobactam
ARO:3003140,WP_063860843.1,MOX beta-lactamase,product inactivation,cephalosporin;cephamycin;penam
ARO:3003141,WP_063860844.1,MOX beta-lactamase,product inactivation,cephalosporin;cephamycin;penam
ARO:3003142,AIY69088.1,IMI beta-lactamase,product inactivation,carbapenem
ARO:3003143,WP_060571602.1,IMI beta-lactamase,product inactivation,carbapenem
ARO:3003145,WP_063860711.1,KPC beta-lactamase,product inactivation,carbapenem;cephalosporin;monobactam;penam
ARO:3003146,WP_063865150.1,VEB beta-lactamase,product inactivation,cephalosporin;monobactam
ARO:3003147,AJA32742.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003148,AJA32743.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003149,AJA32744.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003150,ATI44679.1,CARB beta-lactamase,product inactivation,penam
ARO:3003151,BAC61820.1,CARB beta-lactamase,product inactivation,penam
ARO:3003152,AIS67768.1,SHV beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003153,AIS67769.1,SHV beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003154,CEA29750.1,SHV beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003155,CEA29751.1,SHV beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003156,AJO16047.1,SHV beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003157,AIS39742.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3003158,AIW68620.1,TEM beta-lactamase,product inactivation,cephalosporin;monobactam;penam;penem
ARO:3003160,AIY30331.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003161,AIY30332.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003162,AJT57878.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003163,AIS67611.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3003164,AIS67612.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3003165,AIS67613.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3003166,AIT97310.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3003167,BAP18874.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3003168,AJO16046.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3003169,AJU57235.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3003170,WP_063859788.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3003171,AJG06170.1,ACT beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam
ARO:3003172,AJG06172.1,ACT beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam
ARO:3003173,CEA29752.1,MIR beta-lactamase,product inactivation,cephalosporin;monobactam
ARO:3003174,AIL92327.1,CARB beta-lactamase,product inactivation,penam
ARO:3003175,AIL92328.1,CARB beta-lactamase,product inactivation,penam
ARO:3003176,AGQ93789.1,CARB beta-lactamase,product inactivation,penam
ARO:3003177,AIS19858.1,IMI beta-lactamase,product inactivation,carbapenem
ARO:3003178,AJP08641.1,VIM beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam;penem
ARO:3003179,AJP67511.1,VIM beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam;penem
ARO:3003180,AIX87991.1,KPC beta-lactamase,product inactivation,carbapenem;cephalosporin;monobactam;penam
ARO:3003181,AJP67510.1,GES beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003182,BAQ02518.1,NDM beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam
ARO:3003183,AJP18054.1,NDM beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam
ARO:3003184,WP_063864596.1,PER beta-lactamase,product inactivation,carbapenem;cephalosporin;monobactam;penam;penem
ARO:3003185,WP_063860510.1,GES beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003186,AHJ02283.1,CARB beta-lactamase,product inactivation,penam
ARO:3003193,AJA36815.1,quinolone resistance protein (qnr),target protection,fluoroquinolone antibiotic
ARO:3003194,AIY26289.1,GIM beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;monobactam;penam;penem
ARO:3003196,AEM62948.1,major facilitator superfamily (MFS) antibiotic efflux pump,efflux pump,tetracycline antibiotic
ARO:3003197,AET15272.1,ANT(3''),product inactivation,aminoglycoside antibiotic
ARO:3003198,AGH19769.1,16S rRNA methyltransferase (G1405),target alteration,aminoglycoside antibiotic
ARO:3003199,BAO21229.1,AAC(6'),product inactivation,aminoglycoside antibiotic
ARO:3003200,BAQ22025.1,AAC(6'),product inactivation,aminoglycoside antibiotic
ARO:3003202,AAD37403.1,TLA beta-lactamase,product inactivation,cephalosporin;fluoroquinolone antibiotic;monobactam
ARO:3003203,CAG27800.1,TLA beta-lactamase,product inactivation,cephalosporin;fluoroquinolone antibiotic;monobactam
ARO:3003204,BAQ22139.1,TLA beta-lactamase,product inactivation,cephalosporin;fluoroquinolone antibiotic;monobactam
ARO:3003205,CCF55073.1,Erm 23S ribosomal RNA methyltransferase,target alteration,lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic
ARO:3003206,AAL05554.1,ABC-F ATP-binding cassette ribosomal protection protein,target protection,lincosamide antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic;tetracycline antibiotic
ARO:3003207,BAO79518.1,fosfomycin thiol transferase,product inactivation,fosfomycin
ARO:3003209,AJE60855.1,fosfomycin thiol transferase,product inactivation,fosfomycin
ARO:3003210,BAP18892.1,fosfomycin thiol transferase,product inactivation,fosfomycin
ARO:3003250,AAA99503.1,undecaprenyl pyrophosphate related proteins,target alteration,peptide antibiotic
ARO:3003324,CAX52582.1,defensin resistant mprF,target alteration,peptide antibiotic
ARO:3003440,BAI83385.1,methicillin resistant PBP2,target replacement,carbapenem;cephalosporin;cephamycin;monobactam;penam
ARO:3003441,CAL64019.1,Cfr 23S ribosomal RNA methyltransferase,target alteration,lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic
ARO:3003548,BAE78084.1,major facilitator superfamily (MFS) antibiotic efflux pump,efflux pump,acridine dye;disinfecting agents and intercalating dyes;nucleoside antibiotic
ARO:3003549,BAE78083.1,major facilitator superfamily (MFS) antibiotic efflux pump,efflux pump,acridine dye;disinfecting agents and intercalating dyes;nucleoside antibiotic
ARO:3003550,BAE78082.1,major facilitator superfamily (MFS) antibiotic efflux pump,efflux pump,acridine dye;disinfecting agents and intercalating dyes;nucleoside antibiotic
ARO:3003551,BAC11911.1,multidrug and toxic compound extrusion (MATE) transporter,efflux pump,acridine dye;disinfecting agents and intercalating dyes
ARO:3003552,AAL12234.1,Target protecting FusB-type protein conferring resistance to Fusidic acid,target protection,fusidic acid
ARO:3003553,CAA56561.1,CepS beta-lactamase,product inactivation,cephalosporin
ARO:3003556,AAT90846.1,SHW beta-lactamase,product inactivation,cephalosporin;penam
ARO:3003557,AAT90847.1,SHW beta-lactamase,product inactivation,cephalosporin;penam
ARO:3003558,AAX55643.1,BlaA beta-lactamase,product inactivation,cephalosporin;penam
ARO:3003559,AAA21532.1,cepA beta-lactamase,product inactivation,cephalosporin
ARO:3003561,AAK63223.1,Sed beta-lactamase,product inactivation,cephalosporin;penam
ARO:3003562,AAA19882.1,blaF family beta-lactamase,product inactivation,penam
ARO:3003563,CAA33795.1,RCP beta-lactamase,product inactivation,penam
ARO:3003564,AAA26775.1,EXO beta-lactamase,product inactivation,penam
ARO:3003565,CAA37699.1,R39 beta-lactamase,product inactivation,penam
ARO:3003576,BAE78116.1,pmr phosphoethanolamine transferase,target alteration,peptide antibiotic
ARO:3003577,AAC75089.1,pmr phosphoethanolamine transferase,target alteration,peptide antibiotic
ARO:3003578,AAC75314.1,pmr phosphoethanolamine transferase,target alteration,peptide antibiotic
ARO:3003583,AEX49906.1,pmr phosphoethanolamine transferase,efflux pump; target alteration,peptide antibiotic
ARO:3003589,CAA79967.1,NmcA beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam
ARO:3003590,WP_063864666.1,SHV beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003591,WP_063864667.1,SHV beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003593,AKL59536.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003594,AKL59521.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003595,AKR53961.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003596,AKR53962.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003597,AFZ84684.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003598,AKU37610.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003599,PLT17746.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003600,BAQ55594.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003602,AKI29907.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003603,AKI29908.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003604,AKI29909.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003605,AKI29910.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003606,AKI29914.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003607,AKI29916.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003608,AKI29917.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003609,AKI29919.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003610,BAR45714.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003611,ALC76097.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003613,ALC76098.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003614,ALC76100.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003615,ALC76101.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003616,ATL95930.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003617,AKI29921.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003620,ANW35663.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003621,AKI29912.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003622,AKI29913.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003626,ALC79285.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003627,ALC79286.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003628,ALC79287.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003629,ALC79288.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003631,ALC79289.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003632,ALC79290.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003633,ALC79291.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003634,ALC79292.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003635,ALC79293.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003636,ALC79294.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003637,ALL53530.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003639,AKF41839.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003640,AKF41840.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003641,ALI16502.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003642,KSG40284.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003643,QBY97442.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003645,TKV86805.1,OXA beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3003646,AKO63213.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3003647,AKO63214.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3003648,AKR53959.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3003649,AKR53960.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3003650,CFW94147.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3003652,AKZ20822.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3003653,AKZ20821.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3003654,AKA60779.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3003655,AKS43590.1,ACT beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam
ARO:3003657,AKO63210.1,IMP beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam;penem
ARO:3003659,BAQ56016.1,IMP beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam;penem
ARO:3003660,WP_063865194.1,VIM beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam;penem
ARO:3003661,WP_063865195.1,VIM beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam;penem
ARO:3003662,WP_063865196.1,VIM beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam;penem
ARO:3003663,AKF43458.1,NDM beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam
ARO:3003664,AKZ20823.1,NDM beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam
ARO:3003665,CAA79966.1,NmcA beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam
ARO:3003670,AJP77059,subclass B3 PEDO beta-lactamase,product inactivation,carbapenem
ARO:3003676,AAT74613.1,AAC(6'),product inactivation,aminoglycoside antibiotic
ARO:3003677,BAM46120.1,AAC(6'),product inactivation,aminoglycoside antibiotic
ARO:3003679,AAG03546.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,triclosan
ARO:3003680,AAG03547.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,triclosan
ARO:3003681,AAG03548.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,triclosan
ARO:3003682,AAG08359.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,triclosan
ARO:3003687,AGI04227.1,APH(3'),product inactivation,aminoglycoside antibiotic
ARO:3003689,AKF16168,MCR phosphoethanolamine transferase,target alteration,peptide antibiotic
ARO:3003692,AAG07065.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,macrolide antibiotic;tetracycline antibiotic;triclosan
ARO:3003693,AAG07064.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,macrolide antibiotic;tetracycline antibiotic;triclosan
ARO:3003698,BAE06007.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,acridine dye;carbapenem;diaminopyrimidine antibiotic;disinfecting agents and intercalating dyes;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic
ARO:3003699,BAE06008.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,acridine dye;carbapenem;diaminopyrimidine antibiotic;disinfecting agents and intercalating dyes;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic
ARO:3003700,BAE06009.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,acridine dye;carbapenem;diaminopyrimidine antibiotic;disinfecting agents and intercalating dyes;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic
ARO:3003704,BAE06005.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,phenicol antibiotic
ARO:3003705,BAE06006.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,phenicol antibiotic
ARO:3003710,AAG07066.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,macrolide antibiotic;tetracycline antibiotic;triclosan
ARO:3003712,AAK14294.1,VEB beta-lactamase,product inactivation,cephalosporin;monobactam
ARO:3003713,ALU64000,VCC beta-lactamase,product inactivation,carbapenem;monobactam;penam
ARO:3003714,AJP77071,subclass B3 PEDO beta-lactamase,product inactivation,carbapenem
ARO:3003715,AJP77076,subclass B1 PEDO beta-lactamase,product inactivation,carbapenem
ARO:3003716,AJP77054,CPS beta-lactamase,product inactivation,carbapenem
ARO:3003717,AJP77085,ESP beta-lactamase,product inactivation,carbapenem
ARO:3003718,AJP77057,MSI beta-lactamase,product inactivation,carbapenem
ARO:3003719,AJP77058,MSI-OXA family beta-lactamase,product inactivation,carbapenem
ARO:3003720,AJP77080,SPG beta-lactamase,product inactivation,carbapenem
